trial,block,code,A,B,C,D,E,F,flow,type,A_txt,B_txt,C_txt,D_txt,E_txt,F_txt,divider,carrier_out
124,2,61,1,1,1,1,0,1,20.0,111101,1,2,3,5,0,7,5,800
125,2,3,0,0,0,0,1,1,50.0,000011,0,0,0,0,6,7,2,800
126,2,52,1,1,0,1,0,0,33.333333333333336,110100,1,2,0,5,0,0,3,800
127,2,7,0,0,0,1,1,1,33.333333333333336,000111,0,0,0,5,6,7,3,800
128,2,19,0,1,0,0,1,1,33.333333333333336,010011,0,2,0,0,6,7,3,800
129,3,35,1,0,0,0,1,1,33.333333333333336,100011,1,0,0,0,6,7,3,800
130,3,42,1,0,1,0,1,0,33.333333333333336,101010,1,0,3,0,6,0,3,800
131,3,20,0,1,0,1,0,0,50.0,010100,0,2,0,5,0,0,2,800
132,3,23,0,1,0,1,1,1,25.0,010111,0,2,0,5,6,7,4,800
133,3,13,0,0,1,1,0,1,33.333333333333336,001101,0,0,3,5,0,7,3,800
134,3,53,1,1,0,1,0,1,25.0,110101,1,2,0,5,0,7,4,800
135,3,6,0,0,0,1,1,0,50.0,000110,0,0,0,5,6,0,2,800
136,3,47,1,0,1,1,1,1,20.0,101111,1,0,3,5,6,7,5,800
137,3,25,0,1,1,0,0,1,33.333333333333336,011001,0,2,3,0,0,7,3,800
138,3,22,0,1,0,1,1,0,33.333333333333336,010110,0,2,0,5,6,0,3,800
139,3,61,1,1,1,1,0,1,20.0,111101,1,2,3,5,0,7,5,800
140,3,57,1,1,1,0,0,1,25.0,111001,1,2,3,0,0,7,4,800
141,3,56,1,1,1,0,0,0,33.333333333333336,111000,1,2,3,0,0,0,3,800
142,3,40,1,0,1,0,0,0,50.0,101000,1,0,3,0,0,0,2,800
143,3,49,1,1,0,0,0,1,33.333333333333336,110001,1,2,0,0,0,7,3,800
144,3,60,1,1,1,1,0,0,25.0,111100,1,2,3,5,0,0,4,800
145,3,14,0,0,1,1,1,0,33.333333333333336,001110,0,0,3,5,6,0,3,800
146,3,26,0,1,1,0,1,0,33.333333333333336,011010,0,2,3,0,6,0,3,800
147,3,3,0,0,0,0,1,1,50.0,000011,0,0,0,0,6,7,2,800
148,3,8,0,0,1,0,0,0,100.0,001000,0,0,3,0,0,0,1,800
149,3,45,1,0,1,1,0,1,25.0,101101,1,0,3,5,0,7,4,800
150,3,24,0,1,1,0,0,0,50.0,011000,0,2,3,0,0,0,2,800
151,3,11,0,0,1,0,1,1,33.333333333333336,001011,0,0,3,0,6,7,3,800
152,3,55,1,1,0,1,1,1,20.0,110111,1,2,0,5,6,7,5,800
153,3,41,1,0,1,0,0,1,33.333333333333336,101001,1,0,3,0,0,7,3,800
154,3,54,1,1,0,1,1,0,25.0,110110,1,2,0,5,6,0,4,800
155,3,1,0,0,0,0,0,1,100.0,000001,0,0,0,0,0,7,1,800
156,3,50,1,1,0,0,1,0,33.333333333333336,110010,1,2,0,0,6,0,3,800
157,3,58,1,1,1,0,1,0,25.0,111010,1,2,3,0,6,0,4,800
158,3,10,0,0,1,0,1,0,50.0,001010,0,0,3,0,6,0,2,800
159,3,7,0,0,0,1,1,1,33.333333333333336,000111,0,0,0,5,6,7,3,800
160,3,21,0,1,0,1,0,1,33.333333333333336,010101,0,2,0,5,0,7,3,800
161,3,4,0,0,0,1,0,0,100.0,000100,0,0,0,5,0,0,1,800
162,3,62,1,1,1,1,1,0,20.0,111110,1,2,3,5,6,0,5,800
163,3,44,1,0,1,1,0,0,33.333333333333336,101100,1,0,3,5,0,0,3,800
164,3,17,0,1,0,0,0,1,50.0,010001,0,2,0,0,0,7,2,800
165,3,12,0,0,1,1,0,0,50.0,001100,0,0,3,5,0,0,2,800
166,3,5,0,0,0,1,0,1,50.0,000101,0,0,0,5,0,7,2,800
167,3,37,1,0,0,1,0,1,33.333333333333336,100101,1,0,0,5,0,7,3,800
168,3,18,0,1,0,0,1,0,50.0,010010,0,2,0,0,6,0,2,800
169,3,34,1,0,0,0,1,0,50.0,100010,1,0,0,0,6,0,2,800
170,3,9,0,0,1,0,0,1,50.0,001001,0,0,3,0,0,7,2,800
171,3,16,0,1,0,0,0,0,100.0,010000,0,2,0,0,0,0,1,800
172,3,38,1,0,0,1,1,0,33.333333333333336,100110,1,0,0,5,6,0,3,800
173,3,33,1,0,0,0,0,1,50.0,100001,1,0,0,0,0,7,2,800
174,3,0,0,0,0,0,0,0,0.0,000000,0,0,0,0,0,0,0,900
175,3,48,1,1,0,0,0,0,50.0,110000,1,2,0,0,0,0,2,800
176,3,36,1,0,0,1,0,0,50.0,100100,1,0,0,5,0,0,2,800
177,3,46,1,0,1,1,1,0,25.0,101110,1,0,3,5,6,0,4,800
178,3,31,0,1,1,1,1,1,20.0,011111,0,2,3,5,6,7,5,800
179,3,59,1,1,1,0,1,1,20.0,111011,1,2,3,0,6,7,5,800
180,3,29,0,1,1,1,0,1,25.0,011101,0,2,3,5,0,7,4,800
181,3,39,1,0,0,1,1,1,25.0,100111,1,0,0,5,6,7,4,800
182,3,27,0,1,1,0,1,1,25.0,011011,0,2,3,0,6,7,4,800
183,3,32,1,0,0,0,0,0,100.0,100000,1,0,0,0,0,0,1,800
184,3,52,1,1,0,1,0,0,33.333333333333336,110100,1,2,0,5,0,0,3,800
185,3,19,0,1,0,0,1,1,33.333333333333336,010011,0,2,0,0,6,7,3,800
186,3,43,1,0,1,0,1,1,25.0,101011,1,0,3,0,6,7,4,800
187,3,51,1,1,0,0,1,1,25.0,110011,1,2,0,0,6,7,4,800
188,3,2,0,0,0,0,1,0,100.0,000010,0,0,0,0,6,0,1,800
189,3,63,1,1,1,1,1,1,16.666666666666668,111111,1,2,3,5,6,7,6,800
190,3,30,0,1,1,1,1,0,25.0,011110,0,2,3,5,6,0,4,800
191,3,15,0,0,1,1,1,1,25.0,001111,0,0,3,5,6,7,4,800
192,3,28,0,1,1,1,0,0,33.333333333333336,011100,0,2,3,5,0,0,3,800
193,4,42,1,0,1,0,1,0,33.333333333333336,101010,1,0,3,0,6,0,3,800
194,4,22,0,1,0,1,1,0,33.333333333333336,010110,0,2,0,5,6,0,3,800
195,4,20,0,1,0,1,0,0,50.0,010100,0,2,0,5,0,0,2,800
196,4,4,0,0,0,1,0,0,100.0,000100,0,0,0,5,0,0,1,800
197,4,16,0,1,0,0,0,0,100.0,010000,0,2,0,0,0,0,1,800
198,4,60,1,1,1,1,0,0,25.0,111100,1,2,3,5,0,0,4,800
199,4,53,1,1,0,1,0,1,25.0,110101,1,2,0,5,0,7,4,800
200,4,15,0,0,1,1,1,1,25.0,001111,0,0,3,5,6,7,4,800
201,4,43,1,0,1,0,1,1,25.0,101011,1,0,3,0,6,7,4,800
202,4,21,0,1,0,1,0,1,33.333333333333336,010101,0,2,0,5,0,7,3,800
203,4,48,1,1,0,0,0,0,50.0,110000,1,2,0,0,0,0,2,800
204,4,6,0,0,0,1,1,0,50.0,000110,0,0,0,5,6,0,2,800
205,4,9,0,0,1,0,0,1,50.0,001001,0,0,3,0,0,7,2,800
206,4,44,1,0,1,1,0,0,33.333333333333336,101100,1,0,3,5,0,0,3,800
207,4,0,0,0,0,0,0,0,0.0,000000,0,0,0,0,0,0,0,900
208,4,28,0,1,1,1,0,0,33.333333333333336,011100,0,2,3,5,0,0,3,800
209,4,8,0,0,1,0,0,0,100.0,001000,0,0,3,0,0,0,1,800
210,4,19,0,1,0,0,1,1,33.333333333333336,010011,0,2,0,0,6,7,3,800
