trial,block,odor,A,B,C,D,E,F,type,code,flow,total_odor_flow,carrier_out
175,5,F,0,0,0,0,0,1,000001,1,60,60,840
176,5,F,0,0,0,0,0,1,000001,1,60,60,840
177,5,F,0,0,0,0,0,1,000001,1,60,60,840
178,5,F,0,0,0,0,0,1,000001,1,60,60,840
179,5,F,0,0,0,0,0,1,000001,1,60,60,840
180,5,F,0,0,0,0,0,1,000001,1,60,60,840
181,6,A,1,0,0,0,0,0,100000,32,50,50,850
182,6,A,1,0,0,0,0,0,100000,32,50,50,850
183,6,A,1,0,0,0,0,0,100000,32,50,50,850
184,6,A,1,0,0,0,0,0,100000,32,50,50,850
185,6,A,1,0,0,0,0,0,100000,32,50,50,850
186,6,A,1,0,0,0,0,0,100000,32,50,50,850
187,6,B,0,1,0,0,0,0,010000,16,50,50,850
188,6,B,0,1,0,0,0,0,010000,16,50,50,850
189,6,B,0,1,0,0,0,0,010000,16,50,50,850
190,6,B,0,1,0,0,0,0,010000,16,50,50,850
191,6,B,0,1,0,0,0,0,010000,16,50,50,850
192,6,B,0,1,0,0,0,0,010000,16,50,50,850
193,6,C,0,0,1,0,0,0,001000,8,50,50,850
194,6,C,0,0,1,0,0,0,001000,8,50,50,850
195,6,C,0,0,1,0,0,0,001000,8,50,50,850
196,6,C,0,0,1,0,0,0,001000,8,50,50,850
197,6,C,0,0,1,0,0,0,001000,8,50,50,850
198,6,C,0,0,1,0,0,0,001000,8,50,50,850
199,6,D,0,0,0,1,0,0,000100,4,50,50,850
200,6,D,0,0,0,1,0,0,000100,4,50,50,850
201,6,D,0,0,0,1,0,0,000100,4,50,50,850
202,6,D,0,0,0,1,0,0,000100,4,50,50,850
203,6,D,0,0,0,1,0,0,000100,4,50,50,850
204,6,D,0,0,0,1,0,0,000100,4,50,50,850
205,6,E,0,0,0,0,1,0,000010,2,50,50,850
206,6,E,0,0,0,0,1,0,000010,2,50,50,850
207,6,E,0,0,0,0,1,0,000010,2,50,50,850
208,6,E,0,0,0,0,1,0,000010,2,50,50,850
209,6,E,0,0,0,0,1,0,000010,2,50,50,850
210,6,E,0,0,0,0,1,0,000010,2,50,50,850
211,6,F,0,0,0,0,0,1,000001,1,50,50,850
212,6,F,0,0,0,0,0,1,000001,1,50,50,850
213,6,F,0,0,0,0,0,1,000001,1,50,50,850
214,6,F,0,0,0,0,0,1,000001,1,50,50,850
215,6,F,0,0,0,0,0,1,000001,1,50,50,850
216,6,F,0,0,0,0,0,1,000001,1,50,50,850
217,7,A,1,0,0,0,0,0,100000,32,40,40,860
218,7,A,1,0,0,0,0,0,100000,32,40,40,860
219,7,A,1,0,0,0,0,0,100000,32,40,40,860
220,7,A,1,0,0,0,0,0,100000,32,40,40,860
221,7,A,1,0,0,0,0,0,100000,32,40,40,860
222,7,A,1,0,0,0,0,0,100000,32,40,40,860
223,7,B,0,1,0,0,0,0,010000,16,40,40,860
224,7,B,0,1,0,0,0,0,010000,16,40,40,860
225,7,B,0,1,0,0,0,0,010000,16,40,40,860
226,7,B,0,1,0,0,0,0,010000,16,40,40,860
227,7,B,0,1,0,0,0,0,010000,16,40,40,860
228,7,B,0,1,0,0,0,0,010000,16,40,40,860
229,7,C,0,0,1,0,0,0,001000,8,40,40,860
230,7,C,0,0,1,0,0,0,001000,8,40,40,860
231,7,C,0,0,1,0,0,0,001000,8,40,40,860
232,7,C,0,0,1,0,0,0,001000,8,40,40,860
233,7,C,0,0,1,0,0,0,001000,8,40,40,860
234,7,C,0,0,1,0,0,0,001000,8,40,40,860
235,7,D,0,0,0,1,0,0,000100,4,40,40,860
236,7,D,0,0,0,1,0,0,000100,4,40,40,860
237,7,D,0,0,0,1,0,0,000100,4,40,40,860
