trial,block,A,B,C,D,E,F,type,code,odor_number,flow,total_odor_flow,carrier_out
253,4,1,1,1,1,1,0,111110,62,5,20.0,100,800
254,4,1,0,0,0,1,0,100010,34,2,50.0,100,800
255,4,0,1,1,1,0,0,011100,28,3,33.333333333333336,100,800
256,4,1,0,1,0,1,1,101011,43,4,25.0,100,800
257,5,0,1,1,0,0,0,011000,24,2,50.0,100,800
258,5,0,1,1,0,1,1,011011,27,4,25.0,100,800
259,5,0,1,0,0,0,0,010000,16,1,100.0,100,800
260,5,1,1,0,1,1,1,110111,55,5,20.0,100,800
261,5,0,0,0,0,1,1,000011,3,2,50.0,100,800
262,5,1,1,1,1,0,1,111101,61,5,20.0,100,800
263,5,0,0,1,1,0,1,001101,13,3,33.333333333333336,100,800
264,5,1,1,0,0,1,1,110011,51,4,25.0,100,800
265,5,1,1,1,0,0,1,111001,57,4,25.0,100,800
266,5,1,0,1,0,1,1,101011,43,4,25.0,100,800
267,5,0,1,0,1,0,1,010101,21,3,33.333333333333336,100,800
268,5,1,1,1,1,0,0,111100,60,4,25.0,100,800
269,5,1,0,0,0,1,1,100011,35,3,33.333333333333336,100,800
270,5,1,0,0,1,1,1,100111,39,4,25.0,100,800
271,5,0,1,1,1,1,1,011111,31,5,20.0,100,800
272,5,0,1,0,0,1,1,010011,19,3,33.333333333333336,100,800
273,5,1,0,0,1,1,0,100110,38,3,33.333333333333336,100,800
274,5,0,1,1,1,1,0,011110,30,4,25.0,100,800
275,5,1,1,0,0,0,1,110001,49,3,33.333333333333336,100,800
276,5,0,1,0,0,1,0,010010,18,2,50.0,100,800
277,5,1,0,1,0,1,0,101010,42,3,33.333333333333336,100,800
278,5,0,1,1,1,0,1,011101,29,4,25.0,100,800
279,5,1,0,1,1,1,1,101111,47,5,20.0,100,800
280,5,0,1,0,1,0,0,010100,20,2,50.0,100,800
281,5,1,0,0,1,0,1,100101,37,3,33.333333333333336,100,800
282,5,0,0,1,1,0,0,001100,12,2,50.0,100,800
283,5,0,1,0,1,1,1,010111,23,4,25.0,100,800
284,5,0,1,1,0,0,1,011001,25,3,33.333333333333336,100,800
285,5,0,0,0,0,1,0,000010,2,1,100.0,100,800
286,5,0,0,1,0,0,0,001000,8,1,100.0,100,800
287,5,0,0,1,1,1,1,001111,15,4,25.0,100,800
288,5,0,1,0,1,1,0,010110,22,3,33.333333333333336,100,800
289,5,0,0,0,0,0,1,000001,1,1,100.0,100,800
290,5,1,1,1,0,1,0,111010,58,4,25.0,100,800
291,5,1,0,1,1,0,1,101101,45,4,25.0,100,800
292,5,1,0,0,1,0,0,100100,36,2,50.0,100,800
293,5,1,0,1,1,0,0,101100,44,3,33.333333333333336,100,800
294,5,1,1,1,1,1,1,111111,63,6,16.666666666666668,100,800
295,5,1,0,1,0,0,0,101000,40,2,50.0,100,800
296,5,1,1,1,0,1,1,111011,59,5,20.0,100,800
297,5,0,0,0,1,1,1,000111,7,3,33.333333333333336,100,800
298,5,1,1,0,0,1,0,110010,50,3,33.333333333333336,100,800
299,5,1,1,0,0,0,0,110000,48,2,50.0,100,800
300,5,0,1,0,0,0,1,010001,17,2,50.0,100,800
301,5,0,0,1,0,1,0,001010,10,2,50.0,100,800
302,5,1,0,0,0,0,0,100000,32,1,100.0,100,800
303,5,1,1,0,1,1,0,110110,54,4,25.0,100,800
304,5,0,0,1,1,1,0,001110,14,3,33.333333333333336,100,800
305,5,1,1,0,1,0,1,110101,53,4,25.0,100,800
306,5,1,0,1,1,1,0,101110,46,4,25.0,100,800
307,5,0,0,1,0,0,1,001001,9,2,50.0,100,800
308,5,0,0,0,1,0,0,000100,4,1,100.0,100,800
309,5,1,1,0,1,0,0,110100,52,3,33.333333333333336,100,800
310,5,0,1,1,1,0,0,011100,28,3,33.333333333333336,100,800
311,5,1,0,0,0,1,0,100010,34,2,50.0,100,800
312,5,0,0,1,0,1,1,001011,11,3,33.333333333333336,100,800
313,5,1,0,1,0,0,1,101001,41,3,33.333333333333336,100,800
314,5,1,1,1,0,0,0,111000,56,3,33.333333333333336,100,800
315,5,0,1,1,0,1,0,011010,26,3,33.333333333333336,100,800
316,5,0,0,0,0,0,0,000000,0,0,0.0,0,900
317,5,1,0,0,0,0,1,100001,33,2,50.0,100,800
318,5,0,0,0,1,0,1,000101,5,2,50.0,100,800
319,5,0,0,0,1,1,0,000110,6,2,50.0,100,800
320,5,1,1,1,1,1,0,111110,62,5,20.0,100,800
321,6,1,1,0,1,0,1,110101,53,4,25.0,100,800
322,6,0,1,1,1,1,1,011111,31,5,20.0,100,800
323,6,0,1,0,1,1,1,010111,23,4,25.0,100,800
324,6,0,0,0,0,1,0,000010,2,1,100.0,100,800
325,6,0,1,0,0,0,0,010000,16,1,100.0,100,800
326,6,1,1,1,0,1,1,111011,59,5,20.0,100,800
327,6,1,0,0,0,0,0,100000,32,1,100.0,100,800
328,6,1,0,0,1,0,1,100101,37,3,33.333333333333336,100,800
329,6,1,0,1,0,0,1,101001,41,3,33.333333333333336,100,800
330,6,0,0,0,1,0,0,000100,4,1,100.0,100,800
331,6,0,0,0,0,0,1,000001,1,1,100.0,100,800
332,6,0,1,1,1,0,1,011101,29,4,25.0,100,800
333,6,0,1,1,0,1,1,011011,27,4,25.0,100,800
334,6,1,0,1,1,0,0,101100,44,3,33.333333333333336,100,800
335,6,0,0,1,1,1,0,001110,14,3,33.333333333333336,100,800
336,6,1,0,0,0,0,1,100001,33,2,50.0,100,800
337,6,0,1,0,1,1,0,010110,22,3,33.333333333333336,100,800
338,6,0,1,1,0,0,1,011001,25,3,33.333333333333336,100,800
339,6,0,0,1,1,0,1,001101,13,3,33.333333333333336,100,800
340,6,0,1,1,1,1,0,011110,30,4,25.0,100,800
341,6,1,0,1,1,1,1,101111,47,5,20.0,100,800
342,6,0,0,1,1,1,1,001111,15,4,25.0,100,800
