trial,block,A,B,C,D,E,F,type,code,odor_number,flow,total_odor_flow,carrier_out
185,3,0,0,0,0,0,1,000001,1,1,100,100,800
186,3,0,1,1,1,1,1,011111,31,5,100,500,400
187,3,1,1,1,1,1,0,111110,62,5,100,500,400
188,3,1,0,0,1,0,1,100101,37,3,100,300,600
189,3,1,1,0,0,0,1,110001,49,3,100,300,600
190,3,1,0,1,0,1,0,101010,42,3,100,300,600
191,3,0,0,0,1,1,0,000110,6,2,100,200,700
192,3,1,0,1,1,1,1,101111,47,5,100,500,400
193,4,1,0,1,0,1,0,101010,42,3,100,300,600
194,4,0,0,1,1,0,0,001100,12,2,100,200,700
195,4,0,1,0,1,1,0,010110,22,3,100,300,600
196,4,0,1,1,0,0,0,011000,24,2,100,200,700
197,4,1,0,1,1,1,1,101111,47,5,100,500,400
198,4,0,0,1,0,1,0,001010,10,2,100,200,700
199,4,0,1,0,0,0,1,010001,17,2,100,200,700
200,4,0,1,1,1,0,1,011101,29,4,100,400,500
201,4,1,1,1,0,1,1,111011,59,5,100,500,400
202,4,0,0,1,0,0,0,001000,8,1,100,100,800
203,4,1,0,0,0,1,1,100011,35,3,100,300,600
204,4,0,0,1,0,0,1,001001,9,2,100,200,700
205,4,1,0,0,1,0,0,100100,36,2,100,200,700
206,4,1,1,0,1,1,0,110110,54,4,100,400,500
207,4,1,1,1,1,0,1,111101,61,5,100,500,400
208,4,0,0,1,1,0,1,001101,13,3,100,300,600
209,4,0,1,0,1,0,1,010101,21,3,100,300,600
210,4,0,1,0,1,1,1,010111,23,4,100,400,500
211,4,1,0,0,0,0,1,100001,33,2,100,200,700
212,4,0,0,0,0,0,1,000001,1,1,100,100,800
213,4,0,1,1,0,0,1,011001,25,3,100,300,600
214,4,0,0,0,1,1,1,000111,7,3,100,300,600
215,4,1,0,1,1,0,0,101100,44,3,100,300,600
216,4,1,0,1,0,1,1,101011,43,4,100,400,500
217,4,0,0,0,1,1,0,000110,6,2,100,200,700
218,4,0,0,0,1,0,0,000100,4,1,100,100,800
219,4,1,0,0,1,1,1,100111,39,4,100,400,500
220,4,1,1,1,1,1,0,111110,62,5,100,500,400
221,4,0,1,1,0,1,1,011011,27,4,100,400,500
222,4,0,0,0,0,1,1,000011,3,2,100,200,700
223,4,0,0,1,0,1,1,001011,11,3,100,300,600
224,4,0,1,1,1,0,0,011100,28,3,100,300,600
225,4,0,1,0,0,1,0,010010,18,2,100,200,700
226,4,1,1,0,1,0,0,110100,52,3,100,300,600
227,4,1,1,1,1,0,0,111100,60,4,100,400,500
228,4,1,0,1,1,1,0,101110,46,4,100,400,500
229,4,1,1,1,0,1,0,111010,58,4,100,400,500
230,4,0,1,1,1,1,0,011110,30,4,100,400,500
231,4,0,1,0,1,0,0,010100,20,2,100,200,700
232,4,0,1,0,0,1,1,010011,19,3,100,300,600
233,4,1,1,1,0,0,0,111000,56,3,100,300,600
234,4,0,0,1,1,1,0,001110,14,3,100,300,600
235,4,1,1,0,0,0,1,110001,49,3,100,300,600
236,4,0,1,0,0,0,0,010000,16,1,100,100,800
237,4,1,1,0,1,1,1,110111,55,5,100,500,400
238,4,1,1,0,1,0,1,110101,53,4,100,400,500
239,4,0,0,0,0,1,0,000010,2,1,100,100,800
240,4,1,0,0,1,1,0,100110,38,3,100,300,600
241,4,0,0,0,1,0,1,000101,5,2,100,200,700
242,4,1,0,0,0,1,0,100010,34,2,100,200,700
243,4,0,1,1,0,1,0,011010,26,3,100,300,600
244,4,0,1,1,1,1,1,011111,31,5,100,500,400
245,4,1,1,1,1,1,1,111111,63,6,100,600,300
246,4,1,0,0,1,0,1,100101,37,3,100,300,600
247,4,1,1,0,0,1,0,110010,50,3,100,300,600
248,4,1,0,1,0,0,0,101000,40,2,100,200,700
249,4,1,0,0,0,0,0,100000,32,1,100,100,800
250,4,1,1,0,0,0,0,110000,48,2,100,200,700
251,4,1,0,1,0,0,1,101001,41,3,100,300,600
252,4,1,0,1,1,0,1,101101,45,4,100,400,500
253,4,0,0,1,1,1,1,001111,15,4,100,400,500
254,4,0,0,0,0,0,0,000000,0,0,0,0,900
255,4,1,1,0,0,1,1,110011,51,4,100,400,500
256,4,1,1,1,0,0,1,111001,57,4,100,400,500
257,5,1,1,0,0,1,1,110011,51,4,100,400,500
